Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Short Description,Event Tags
Grill and Chill,East Campus,,Fort Build Site,8/28/2023 14:00:00,8/28/2023 17:30:00,Burgers and friends ALL DAY! :D,"Food, Social"
Hair Dyeing,East Campus,,Fort Build Site,8/28/2023 14:00:00,8/28/2023 17:30:00,"You could get your hair dyed tomorrow. But you also could've gotten it dyed yesterday, and you didn't (unless you did, in which case you're awesome). Why wait any longer? You know you want to.","Social, Art"
Catboy Cafe x Goth Girl iHOP,East Campus,,Next House Country Kitchen,8/28/2023 15:00:00,8/28/2023 17:00:00,"haiiiiii ^-^ stop by for emo pancakes, kawaii waffles, and more :3 learn about east campus from local goths and catboys!","Food, Social"
EC Minecraft Dorm Tours,East Campus,,1-134,8/28/2023 15:30:00,8/28/2023 17:30:00,"what do you feel when you see the parallels of East Campus? curiosity? intrigue? …temptation? alas, due to abstruse concepts like “health and safety”, we are unable to offer you the East Campus Tour Experience™ this year. So instead, we will do so… in minecraft! (laptop optional)","Tour, Social, Art"
Cruft Smashing,East Campus,,Fort Build Site,8/28/2023 15:30:00,8/28/2023 17:30:00,"wanna smash old electronics? have built up rage from the hassel of unpacking?, wanna see other people let out demons? come to cruft smashing and see what you and a tool of your choice can do to some old electronics",Social
Grill and Chill,East Campus,,Fort Build Site,8/28/2023 18:30:00,8/28/2023 20:00:00,Burgers and friends ALL DAY! :D,"Food, Social"
Crocheting Peculiar Cats,East Campus,,1-136,8/28/2023 20:00:00,8/28/2023 22:00:00,"Come crochet cats, the pride and joy of East Campus! Beginners welcome—in fact, if you end up crocheting the strangest blob of a body, that’ll only mirror the reality of EC cats more :D","Social, Art"
smol desk concert,East Campus,,Fort Build Site,8/28/2023 20:00:00,8/28/2023 22:00:00,open mic! come play and/or listen to some music!,"Social, Art"
where'd we go?,East Campus,,Fort Build Site,8/28/2023 22:00:00,8/28/2023 22:19:00,Come join us in not-being-here.,
Climb the Castle,East Campus,,Fort Build Site,8/29/2023 11:30:00,8/29/2023 12:30:00,Come climb on the EC castle boulder wall!,Games
EC Minecraft Dorm Tours,East Campus,,1-134,8/29/2023 11:30:00,8/29/2023 13:30:00,"what do you feel when you see the parallels of East Campus? curiosity? intrigue? …temptation? alas, due to abstruse concepts like “health and safety”, we are unable to offer you the East Campus Tour Experience™ this year. So instead, we will do so… in minecraft! (laptop optional)","Tour, Social, Art"
Ruin Your Wardrobe,East Campus,,Fort Build Site,8/29/2023 11:30:00,8/29/2023 13:30:00,"you probably came here with all those new clothes mommy and daddy bought you. or maybe you've gotten a (very plain) orientation shirt. either way, wouldn't it be nice to turn those into something you'd ACTUALLY wear? *BRING CLOTHES*",Art
Tetris and tats,East Campus,,1-132,8/29/2023 11:30:00,8/29/2023 15:00:00,play tetr.io and get some sick ink(box),"Social, Games, Art"
Grill and Chill,East Campus,,Fort Build Site,8/29/2023 12:00:00,8/29/2023 15:30:00,Burgers and friends ALL DAY! :D,"Food, Social"
Hair Dyeing,East Campus,,Fort Build Site,8/29/2023 12:00:00,8/29/2023 15:30:00,What better way to appreciate the spirit of individualism and self-reliance than to get your hair dyed in ALL OF THE COLORS because you can and why not,"Social, Art"
CURSED GRILLZ,East Campus,,Fort Build Site,8/29/2023 13:30:00,8/29/2023 15:30:00,"If it’s grillable or edible, we gon make it deliciousable. Come try various foods that may or may not grill well. Vote on your favorites and help revolutionize the world of cooking with the almighty grill!","Food, Social"
Westyard SCREAAMM,East Campus,,Fort Build Site,8/29/2023 13:45:00,8/29/2023 14:00:00,words are hard....sometimes you just need to aaAAAHHHHH!!! Come join us in some (non)traditional EC group therapy.,Social
Black Queer Hangout,East Campus,,Adirondak Lounge (between W20 and the Z-Center),8/29/2023 14:00:00,8/29/2023 15:30:00,chill with some POC gay people and eat our baked mac n cheese (among other foods),Food
Hair Dyeing,East Campus,,Fort Build Site,8/29/2023 17:00:00,8/29/2023 18:00:00,"If you're worried about what your parents will think, natural colors such as leaf green, sky blue, and grape purple also available.","Social, Art"
PROTEST!!!,East Campus,,Fort Build Site,8/29/2023 17:00:00,8/29/2023 18:00:00,We are mad! Come express your outrage with us. Today we march! >:),Social
Grill and Chill,East Campus,,Fort Build Site,8/29/2023 17:00:00,8/29/2023 20:00:00,Burgers and friends ALL DAY! :D,"Food, Social"
Let Them Eat Cake,East Campus,,Warehouse Community Kitchen,8/29/2023 18:00:00,8/29/2023 20:00:00,"As the famous french royalty once proclaimed, “Let them eat cake!” Well, let the people eat cake! ‘Tis not the boring cake of the 1800s, though - decorate a cake to your heart’s content, or demolish a heart cake like in Taylor Swift’s music video content. Viva la revolution!","Food, Social"
Fluffytown,East Campus,,1-136,8/29/2023 18:00:00,8/29/2023 21:00:00,Stop by and build and/or hang out in a blanket fort  with folks from East Campus!,Social
Super Secret Gay Time,East Campus,,1-134,8/29/2023 19:00:00,8/29/2023 20:00:00,Come chill with fellow gays of EC; stay as long as you like and speak as much as you want :),Social
Pinkies,East Campus,,Warehouse Community Kitchen,8/29/2023 20:00:00,8/29/2023 21:00:00,"Who is Pinkie? What is the ""Harry's monstrosity"" menu item? What do I get if I order ""oat""? Come and find out at EC's favorite late night diner!","Food, Social"
where'd we go?,East Campus,,Fort Build Site,8/29/2023 22:00:00,8/29/2023 22:19:00,"Idk, you tell me.",
Tetris and tats,East Campus,,1-132,8/29/2023 9:00:00,8/29/2023 10:00:00,play tetr.io and get some sick ink(box),"Social, Games, Art"
