Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Short Description,Event Tags
Katharine's Kasino,McCormick Hall,,McCormick Green Living Room,8/28/2023 21:00:00,8/28/2023 23:00:00,"Do you like gambling? Well, come on down to Katherine’s Kasino. We got chips (both the poker type and the snacking type), blackjack, and bingo (for the old souls). Are you feeling lucky?","Social, Games"
Cottagecore!,McCormick Hall,,McCormick's Craft Room,8/28/2023 9:30:00,8/28/2023 11:00:00,"Join us in the craft room for flower crowns, embroidery projects, and insightful conversations. Stitch, sip tea, and discover what it's like to navigate MIT!","Social, Art"
Taste of Cambridge,McCormick Hall,,McCormick Courtyard,8/29/2023 12:00:00,8/29/2023 14:00:00,"Hungry but don’t know where to go in Cambridge? We got you! We bring you delicious food from the finest dining establishments around. Though we don’t recommend you mix all the flavors together, we do recommend that you come and stuff your face!","Food, Social"
Prepare for (Water) War,McCormick Hall,,McCormick Courtyard,8/29/2023 17:30:00,8/29/2023 18:30:00,Prep for Water Wars! Arm yourselves with water balloons. Defend yourselves with shields. Mark yourselves with war paint. Prepare for battle!,"Social, Art"
Spa Night,McCormick Hall,,"McCormick Green Living Room, Country Kitchen",8/29/2023 21:00:00,8/29/2023 23:00:00,"Chill, relax, put on a face mask! Make yourself a unique soap bar! Enjoy a spa night with us before heading off to your first week of classes!",Social
Paint the Skyline,McCormick Hall,,McCormick's East Penthouse,8/30/2023 16:00:00,8/30/2023 19:00:00,"What's better than free art supplies? Painting the best view in MIT with those supplies, of course! Come to the McCormick East Penthouse to get your creative juices flowing, paint, and make a keepsake.",Art
Game Night,McCormick Hall,,McCormick Game Room,8/30/2023 21:00:00,8/31/2023 0:00:00,"GAMES you say? Meet and battle your (fr)enemies in McCormick's Game room! Any game you could ask for (including Smash, ping pong, Exploding Kittens, and more!)","Social, Games"
Sunrise on Harvard Bridge,McCormick Hall,,Meet at Lobby,8/30/2023 6:00:00,8/30/2023 7:00:00,"Get ready for an epic adventure (across the street) at Sunrise on Harvard Bridge! Rise and shine with us as we witness the most breathtaking sunrise in Boston. It is time to kickstart your college adventure with laughter, friends, and a picture-perfect sunrise.",Social
McCormick Breakfast House,McCormick Hall,,McCormick Country Kitchen,8/30/2023 7:30:00,8/30/2023 10:00:00,Stop by to get your most important meal of the day- McCormick’s got you covered with waffles & fruit in the Country Kitchen!,Food
Crafty Cozies,New House (Numbered Houses),New House 5,New House 5 Lounge,8/27/2023 15:30:00,8/27/2023 17:00:00,"Cozy up with the dlounge plushies and blankets while making friendship bracelets, key chains, and origami with us! Snacks will be provided :)","Social, Art"
kitchen karaoke,New House (Numbered Houses),New House 4,New House 4 Kitchen (Floor 5),8/27/2023 21:00:00,8/27/2023 23:00:00,A karaoke event like you've never experienced before. Join House 4's favorite weeknight tradition of singing and dancing your heart out in the kitchen!,"Food, Social"
PAINT THE H4USE DOWN,New House (Numbered Houses),New House 4,House 4 Hallways and Kitchen (Floor 5),8/28/2023 14:00:00,8/28/2023 17:00:00,"That’s right, we’ll be entirely covering our walls with blank paper and turning the house into a giant canvas! Whether you've never held a paintbrush before or are an expert, get ready for lots of color, good music, and great vibes.","Social, Art"
Taste of New House,New House (Numbered Houses),,New House Arcade,8/28/2023 19:00:00,8/28/2023 20:00:00,Experience what NH has to offer!,"Signature, Food, Social"
Wii Games for Wee Gamers,New House (Numbered Houses),New House 5,New House 5 Lounge,8/28/2023 20:00:00,8/28/2023 22:00:00,Avoid the Boston road rage with some good ‘ol Mario Kart. Unlicensed? Take your adventure onto the floor with Wii Sports or Just Dance! (Fueled by snacks of course),"Social, Games"
Shaved Ice,New House (Numbered Houses),House 3,House 3 Lounge,8/29/2023 17:00:00,8/29/2023 20:00:00,Become cooler with House 3!,"Signature, Food, Social"
Dcupcake Decorating,New House (Numbered Houses),New House 5,New House 5 Lounge,8/29/2023 20:00:00,8/29/2023 21:30:00,Looking for something sweet? Swing by dlounge and decorate cupcakes to unleash your inner artist!,"Signature, Food, Social"
View of New,New House (Numbered Houses),,New House Arcade,8/30/2023 10:00:00,8/30/2023 17:00:00,"New House Tours. Everything ranging from where the culture and numbered houses are, to how to use the laundry room and maker space.","Tour, Social"
chill sports n chill sports,New House (Numbered Houses),New House 4,Briggs Field,8/30/2023 14:30:00,8/30/2023 16:00:00,Do you love a good round of spikeball? Or are you tired and want a popsicle to cool down on the hot day? We have it all! Come compete in chill outdoors games or cool down with our less athletic members and chat about life in New House!,"Social, Games"
Switch Games,New House (Numbered Houses),House 3,House 3 Lounge,8/30/2023 17:00:00,8/30/2023 20:00:00,Switch it up with House 3!,"Social, Games"
Slice to Meet You,New Vassar,,Mezzanine ,8/27/2023 12:00:00,8/27/2023 13:00:00,Come to meet some new friends while eating pizza!,"Food, Social"
Green with New Vassar,New Vassar,,Mezzanine ,8/27/2023 13:00:00,8/27/2023 14:00:00,Get artsy and crafty with succulent pot painting!,"Social, Art"
Explore New Vassar ,New Vassar,,Front Desk ,8/27/2023 14:00:00,8/27/2023 14:30:00,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour
Jurvassar Park ,New Vassar,,Mezzanine ,8/27/2023 21:00:00,8/27/2023 23:00:00,Kick back and watch Jurassic Park with friends in New Vassar's beautiful mezzanine,Social
Candyland Carnival ,New Vassar,,Game Room + Conference Room ,8/27/2023 21:00:00,8/27/2023 23:00:00,"Play your favorite game, learn a new one, or grab a computer and game with new friends and sweet treats in the best game room on campus.","Food, Social, Games"
Rise and Shine Waffles ,New Vassar,,Mezzanine ,8/28/2023 10:00:00,8/28/2023 11:00:00,Come and grab some breakfast and meet new friends! ,"Food, Social"
Explore New Vassar,New Vassar,,Front Desk ,8/28/2023 14:00:00,8/28/2023 14:30:00,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour
Make with NV,New Vassar,,New Vassar Makerspace,8/28/2023 15:00:00,8/28/2023 17:00:00,Come make your very own desk light in New Vassar's state-of-the-art makerspace! [materials and instructions included],Art
Code Golf ,New Vassar,,Mezzanine ,8/28/2023 19:00:00,8/28/2023 20:00:00,Ever thought about putting your coding skills to the test? Participate in our code golf tournament!,Social
Poker Tournament ,New Vassar,,Mezzanine ,8/28/2023 21:00:00,8/28/2023 23:00:00,Feeling lucky? Participate in our infamous poker tournament!,"Social, Games"
Make with NV,New Vassar,,New Vassar Makerspace,8/29/2023 12:00:00,8/29/2023 14:00:00,Come make your very own desk light in New Vassar's state-of-the-art makerspace! [materials and instructions included],Art
Explore New Vassar ,New Vassar,,Front Desk,8/29/2023 14:00:00,8/29/2023 14:30:00,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour
Get Craf-TEA,New Vassar,,Mezzanine ,8/29/2023 23:00:00,8/30/2023 0:00:00,Unleash your creativity to make a custom cup of boba! ,"Food, Social"
College Classics ,New Vassar,,Mezzanine ,8/30/2023 0:00:00,8/31/2023 1:00:00,Prepare to eat all of the college student midnight snack classics!,"Food, Social"
Let's Break the Ice,New Vassar,,Mezzanine ,8/30/2023 18:00:00,8/30/2023 20:00:00,Come to meet some new friends over snow cones! ,"Food, Social"
Eat Sleep League ,New Vassar,,1st Floor Conference Room ,8/30/2023 21:00:00,8/31/2023 0:00:00,Bring your laptop over and prepare to become best friends or worst nightmares with your 5-man league of legends team,"Social, Games"
Ping Pong Tournament ,New Vassar,,Game Room ,8/30/2023 21:00:00,8/30/2023 23:00:00,Break out your ping pong skills and get your competitive hype on with the New Vassar Ping Pong Singles tournament!,"Social, Games"
3W: Naptime with Baymax,Next House,3W,Next 3W,8/27/2023 14:00:00,8/27/2023 16:00:00,"Events hitting you hard already? Wanna take a breather? Then come on over to 3W, where the blankets are all kinds of colors and everything is soft (even the massive Baymax plushie)!",Social
Next House Tour,Next House,,All of Next House,8/27/2023 15:00:00,8/27/2023 16:00:00,"Your one (and probably not only) chance to see all of Next House! Listen to some great stories while you walk our storied halls and witness such great things as our music room, communal kitchen, our eight wonderful wings, and more!",Tour
Fire & Ice II,Next House,,Next House Country Kitchen,8/27/2023 16:00:00,8/27/2023 18:00:00,"Where was the fire in Fire & Ice I, you ask? Come eat spicy ramen with us and find out.",Food
Discover Confessions,Next House,,Next House Basement,8/27/2023 20:00:00,8/27/2023 22:00:00,Discover some of MIT's juiciest confessions by playing pictionary/telephone/mad libs with us!! 🍵 👀,"Social, Games"
Tea & Scones with Next Bake,Next House,Next Bake,Next House Country Kitchen,8/27/2023 21:00:00,8/27/2023 23:30:00,"ever wanted to channel (see what we did there) your inner 1800s English socialite? well have no fear, because next bake is here!! come bake (and EAT) scones with us and sample a variety of teas (definitely literal, maybe figurative? 👀)! no baking experience required :))","Food, Social, Art"
4W: Re-rejected REX ideas,Next House,4W,Next 4W Main Lounge,8/28/2023 14:00:00,8/28/2023 16:00:00,"Running all our re-rejected ideas. Cities quiz: ""name as many springfields as we can"". Orange stacking: ""start with 220 oranges. end with 220 oranges and 1 tetrahedron"". 2000 piece puzzle: “press puzzling pieces pragmatically to produce picture of phenomenal people”. also snaccs","Food, Social, Games, Art"
Tye Dye Battle,Next House,,Next House Courtyard,8/28/2023 15:30:00,8/28/2023 17:30:00,"Wanna pummel your friends, enemies, and total strangers with water balloons? Do you crave the sight of colored dye exploding on your victims? Ready to practice your skills for the upcoming MIT WATER WAR??? Then join the battle! (tye-dye station included, noncombatants welcome)!","Social, Games"
Scenic Citgo,Next House,,Next House Country Kitchen,8/28/2023 19:00:00,8/28/2023 21:00:00,"Join our very own paint bar in capturing scenic skylines, signs, and sunsets seen on campus. Refreshments and supplies provided.","Food, Social, Art"
5E: Eat Hot Chip and ...,Next House,5E,Next 5E Main Lounge,8/28/2023 19:00:00,8/28/2023 21:00:00,"All we know is eat hot chip and ... Come eat hot chips with us and tell stories, try to guess if your peers are lying, after all that's all people born after 1993 know.","Food, Social, Games"
Next Haunt,Next House,Next Haunt,Next House PDR (Private Dining Room),8/28/2023 21:00:00,8/29/2023 1:00:00,"Excited for Halloween? Yes, it's August, but ARE YOU EXCITED FOR HALLOWEEN? Then swing by for snacks, puzzles, drawing prompts, and spo0kiness! We're a student group that builds a haunted escape room every Halloween and is always looking for volunteers (no experience required)!","Social, Games"
Movie Meltdown,Next House,,Next House TFL,8/28/2023 22:00:00,8/29/2023 1:00:00,"Because we'll all collectively be having a meltdown while watching ✨ classics ✨ such as Twilight, Bee Movie, and The Room. Enjoy a slice while you cringe.","Food, Social"
5W: Ab Ripper w/ Snacks,Next House,5W,Next 5W Main Lounge,8/28/2023 8:00:00,8/28/2023 10:00:00,"Start off the semester healthy by building your muscles with Next House 5W. Join us for P90X-Ab Ripper X, recover with some morning snacks (granola, fresh & dried fruits, yogurt), and relax with some orbeez!","Food, Social"
Tattoo Parlor,Next House,,Next House Courtyard,8/29/2023 11:30:00,8/29/2023 13:30:00,"Tattoos for all levels of commitment-phobia, and eye masks ordered in bulk from Amazon for the casual relaxer. Vibe with your tattoo artist Nexties and friends!","Social, Art"
Make Your Own Pizza,Next House,,Next House Country KItchen,8/29/2023 12:00:00,8/29/2023 14:00:00,Personal pizzas have never been this personal. Mix your own Italian soda to wash it down!,"Food, Social"
3E: Strange Waters,Next House,3E,Next 3E,8/29/2023 13:30:00,8/29/2023 15:30:00,hydrate or diedrate! or… both?,"Food, Social"
4E: Fruit Anarchy,Next House,4E,Next 4E,8/29/2023 17:00:00,8/29/2023 19:00:00,"One of the only times you’re encouraged to play with your food! We got lots of fruit to do whatever you want (within legal boundaries) >:-) Examples include speed-peeling citrus fruits, snapping apples and bananas with your hands, or if it's more your thing, enjoy a smoothie.","Food, Social, Games"
2W: Sussy Lassi,Next House,2W,Next House Country Kitchen,8/29/2023 19:00:00,8/29/2023 21:00:00,"Come to 2W’s Lassi* 🥛 Bar! Enjoy carefully curated concoctions from the delicious 😍 to the downright dastardly 😈. Try to guess our mystery flavor 👀. We’ll have funny fruits 🥑, fishy 🐟 flavorings and the best vibes 🧡. *Flavored yogurt drink. **Lactose-free options available","Food, Social, Games, Art"
4W: Mamma Mia watch party,Next House,4W,Next 4W Main Lounge,8/29/2023 21:00:00,8/29/2023 23:00:00,"Come watch and sing along to the absolutely fantastic 2008 movie musical, Mamma Mia! There will be snacks!","Food, Social"
Next Sing Karaoke,Next House,Next Sing,Next House Basement,8/29/2023 23:00:00,8/30/2023 1:00:00,come participate in the classic next house activity of staying up and singing 2010’s music until ungodly hours of the night !,"Party, Social"
2E: Breakfast Time,Next House,2E,Next House 2E,8/29/2023 8:00:00,8/29/2023 10:00:00,Grab some cereal and start your day right with the folks in 2E!,"Food, Social"
Midnight Pancakes,Next House,,Next House Country Kitchen,8/30/2023 0:00:00,8/30/2023 1:00:00,Come to one of Next House's signature events following a warm wholesome karaoke session. Catch pancakes in the Next House country kitchen (literally)! Chill and talk to Nexties! Warm up with hot chocolate and the vibes ~,"Signature, Food"
Bubble Tea Social,Next House,,Next House Country Kitchen,8/30/2023 20:00:00,8/30/2023 22:00:00,"WHO DOESN'T LIKE BOBA??? Pull through to enjoy tapioca pearls with an assortment of beverages, jigsaw puzzles, and the company of current Nexties!","Food, Social"
Poker Chips & Chips,Next House,,Next House Basement,8/30/2023 22:00:00,8/31/2023 1:00:00,"Craving a late-night snack? Want to learn how to play poker in a casual, low-stakes setting? Both? Come feast on chips with Next House's poker enthusiasts! (just don't snack on the poker chips)","Food, Social, Games"
Lego My Eggo,Next House,,Next House Country Kitchen,8/30/2023 8:00:00,8/30/2023 10:00:00,Did someone say Legos? And Eggo Waffles?!? Come through to relive your childhood (and maybe even adulthood) in the best possible way! Get delicious breakfast to keep you running for the rest of the day AND channel your Mens et Manus by building stuff out of Lego!,"Food, Social, Games, Art"
ghost stories on the roofdeck,Random Hall,,Random Rookdeck,8/28/2023 19:47:00,8/28/2023 20:47:00,"""bring your spooky mood to the random hall roofdeck and listen to ghost stories (featuring some queer content!) while enjoying some thematic treats ~oooOooOooh~ note: cw will be announced before each story <3""",Social
Takoyaki,Random Hall,BMF,BMF Kitchen,8/30/2023 11:47:00,8/30/2023 12:47:00,"Come one and all to eat takoyaki made by yours truly, BMF","Food, Social"
Pierogi Power Hour,Random Hall,Bonfire,Bonfire Kitchen,8/27/2023 10:17:00,8/27/2023 12:17:00,Did your babusya never teach you how to make cheese or blueberry pierogies from scratch? Don't worry! We'll be your local grandmothers and show you how - the Ukrainian way ;),"Food, Social"
bagels & locks,Random Hall,,foo,8/27/2023 11:17:00,8/27/2023 13:17:00,learn how to pick locks and eat bagels. or pick bagels and eat locks. or eat picks and lock bagels? or label blocks? blagel pocks. blagicklock? pickockgel. bagelbagelbagelock? or blagelockickeaglebagle? what's a lock? what's a bagel? who are you? who am i? bagel. bagel. locks.,Food
random hall mural hunt,Random Hall,,"Random Hall, starting in Foo",8/27/2023 12:17:00,8/27/2023 14:17:00,"our dorm is a colorful maze -- come explore it, and don't forget to look up!",Tour
bagels & locks,Random Hall,Black Hole,Black Hole Kitchen,8/27/2023 12:17:00,8/27/2023 14:17:00,learn how to pick locks and eat bagels. or pick bagels and eat locks. or eat picks and lock bagels? or label blocks? blagel pocks. blagicklock? pickockgel. bagelbagelbagelock? or blagelockickeaglebagle? what's a lock? what's a bagel? who are you? who am i? bagel. bagel. locks.,"Food, Social, Games"
Hyperbolic Scrunchies,Random Hall,Pecker,Pecker lounge,8/27/2023 13:17:00,8/27/2023 16:17:00,Do you enjoy crochet or want to learn this delightful fiber art? Come make Cool Wiggly Shapes!,Art
Game Time,Random Hall,BMF,BMF lounge,8/27/2023 13:47:00,8/27/2023 15:47:00,Come play some board/card games,Games
milk and toast cafe ~ ,Random Hall,BMf,BMF Kitchen,8/27/2023 15:47:00,8/27/2023 17:57:00,"want milk? toast? good music and chill vibes? stop by our cafe, where all things are about milk and milk bread! (toppings and tea included)","Food, Social"
Foamsmithing,Random Hall,,Random Roof Deck,8/27/2023 16:17:00,8/27/2023 17:57:00,Let us forge a hoard of mighty weapons to defend our honor and the honor of our livestock! Come forth ye brave hero and make a foam sword. Henceforth thou shalt smack thine enemies with glorious purpose!,Games
Bonfire Pillow Fort,Random Hall,Bonfire,Firepit (Bonfire Lounge),8/27/2023 20:17:00,8/27/2023 21:17:00,"Come take a break from the craziness of REX to get cozy and warm (and/or air conditioned) with blankets and hot chocolate, getting to know some lovely Randomites in the process.","Food, Social"
eat food to live,Random Hall,,Clam Kitchen,8/27/2023 20:47:00,8/27/2023 22:17:00,Food is any substance consumed by an organism for nutritional support. consume food. so that you can survive. ft. noodle! stir fry! mysterious other options! vegetarian options always available,Food
Bughouse Mughouse,Random Hall,Loop,Pecker Kitchen,8/27/2023 20:47:00,8/27/2023 22:47:00,Come play the chess variant bughouse and enjoy some treats in mugs!,"Food, Social, Games"
Geoguessr? Hardly Know ‘Er!,Random Hall,,AiW (Random Basement),8/27/2023 21:17:00,8/27/2023 23:17:00,"Guess Geos with us by any means possible! Learn the try hard strats such as: staring at signs, staring at cars, staring at the sky and staring in general! But... are you playing the game, or is the game playing you?",Games
Roofdeck Movies,Random Hall,,Random Hall Roofdeck,8/27/2023 23:17:00,8/28/2023 1:00:00,Watch movies on random's lovely roofdeck ,Social
sapphic cartoons plushie pile,Random Hall,Clam,Clam Lounge,8/28/2023 14:07:00,8/28/2023 17:27:00,Randomites have a lot of plushies. Like a lot. Vibe and watch gay cartoons while being c o n s u m e d in the pile.,"Food, Social"
Clam Smoothies,Random Hall,Clam,Clam Kitchen,8/28/2023 14:07:00,8/28/2023 17:27:00,Are you thirsty? Lacking in nutrients? Looking for a refreshing beverage that is also kind of food? Come by Clam (on the 3rd floor of Random Hall) for a smoothie and snacks!,"Food, Social"
maps? maps. maps! maaaaaaaaaaps,Random Hall,Black Hole,Black Hole,8/28/2023 14:17:00,8/28/2023 15:47:00,i have a lot of paper maps. we will stick them to the wall with mod podge. we will talk about urban planning.,"Social, Art"
Random Hall Dorm Tour,Random Hall,,"starts in Foo, goes around the dorm",8/28/2023 14:17:00,8/26/2023 14:47:00,"tour random! get to know our lovely, idiosyncratic building, its culture, and its residents.",Tour
slime tutorial.,Random Hall,Foo,Foo,8/28/2023 14:47:00,8/28/2023 16:47:00,will there be slime? will there be tutorial? come and join us as we (allegedly) make slime and watch musicals!,"Food, Social"
Powerpoint Karaoke,Random Hall,,Alice in Wonderland Theater,8/28/2023 16:17:00,8/28/2023 17:27:00,"Are you ready for your presentation? What do you mean ""what presentation""? Yes, right now! What, you've never seen these slides before? No problem! Powerpoint Karaoke: we've got random slides you've never seen before, and it's your turn to present!","Social, Games"
The totally true history of Random,Random Hall,,"Random Hall, Foo",8/28/2023 18:47:00,8/28/2023 19:47:00,"I love lying, you love lying. I love Random, and you love random. Now let's put this together, and give a tour to teach your fellow frosh the totally true history of Random","Tour, Social"
BYOP (Build Your Own Pizza),Random Hall,Loop,Loop Kitchen,8/28/2023 18:47:00,8/28/2023 20:17:00,"Pizza just doesn't get any better than when you make it yourself! Come choose from a truly ludicrous number of toppings and try your hand at tossing pizza dough. Pineapple pizza, pickle pizza, pesto pizza, pizza for dessert?!?  Vegan and gluten-free options available.","Food, Social"
Applied Knot Theory,Random Hall,Pecker,Pecker lounge,8/28/2023 19:17:00,8/28/2023 20:17:00,"A practical introduction to the art, mathematics, and philosophy of tying pretty people up with pretty knots. WARNING: This event can expose you to adult-themed conversations, which are known to the State of California to cause discomfort in select individuals.",
Ceiling tile painting,Random Hall,BMF,Bmf lounge,8/28/2023 20:17:00,8/28/2023 22:17:00,Paintings? On my ceiling? Come relax and paint some ceiling tiles with us!,Art
Find Your Real Life D&D Ability Scores!,Random Hall,Bonfire,Bonfire Lounge,8/28/2023 20:17:00,8/28/2023 21:17:00,"Are you a fan of Dungeons & Dragons? Have you ever wondered what your real life ability scores would be if you were a D&D character? Come to find out, and learn/talk/debate about D&D (or other ttrpgs)! ","Social, Games"
Become 2% Milk,Random Hall,Clam,Clam Kitchen,8/28/2023 21:17:00,8/28/2023 22:17:00,Drink milk until you're 2% milk,Food
desk coffehouse,Random Hall,,Foo,8/28/2023 8:17:00,8/28/2023 10:57:00,"would you consider yourself an early riser? want some high quality caffeine to start your day? come to random this morning for a homegrown cafe, complete with coffee, matcha, hot chocolate, good vibes, new friends, and perhaps an enemy or two...","Food, Social"
make corn tortillas while listening to jazz,Random Hall,Bonfire,Bonfire Kitchen,8/28/2023 9:47:00,8/28/2023 10:57:00,"tortillas? masa harina. salt. water. all tortilla-making skill levels welcome. jazz? only your favorites of bebop, cool, latin, free, and fusion jazz subgenres.","Food, Social"
🅱️MF 🅱️oba La🅱️,Random Hall,BMF,BMF Kitchen,8/28/2023 9:47:00,8/28/2023 10:47:00,Boba is always the best when you build your own. Come experiment with different flavors and topping combinations you don’t get to try at the store! Decaf and vegan options available ,"Food, Social"
black hole tea time! ^-^,Random Hall,Black Hole,Black Hole Kitchen,8/29/2023 11:47:00,8/29/2023 13:17:00,chill in black hole kitchen and have some tea with us! we'll have vibes ranging from respectful ceremonial tea pouring to campus-scavenged lipton's. ,"Food, Social"
fish waffles? fish everything!,Random Hall,Bonfire,Bonfire Kitchen,8/29/2023 12:17:00,8/29/2023 14:47:00,do you like waffles? do you like fish shaped items? do you like waffles made out of non-waffle foods? come join us as we explore the limits of what can be cooked in a fish shaped waffle iron. marshmallows? fruit? ice cream? come find out. ,"Food, Social"
Box Fort Warfare,Random Hall,,Random Hall Roof,8/29/2023 12:47:00,8/29/2023 14:27:00,"Create an empire of cardboard, and conquer all who stand in your way",Games
SHARKCUTERIE,Random Hall,Black Hole,Black Hole Kitchen,8/29/2023 12:47:00,8/29/2023 14:17:00,MEAT FOR JAWS CHOMP CHOMP come pair YOUR MEAT with some CHEESE and CRACKERS and FRUIT >:},"Food, Social"
See You Ladder,Random Hall,Loop,Loop Lounge,8/29/2023 13:17:00,8/29/2023 13:47:00,It's simple: at any given moment there are at least 21 ladders around MIT's campus. We will show you pictures of ladders and you must guess which ones have been spotted at MIT. ,Games
Crochet the Hilbert Curve,Random Hall,Loop,Loop Lounge,8/29/2023 13:47:00,8/29/2023 15:27:00,"Come explore the world of mathematical crochet, and help make a Hilbert curve quilt! Never touched a crochet hook? No problem. Never touched a Hilbert curve? Now's your chance! There will be plenty of yarn, a small quantity of math, some snacks, and lots of good conversation.",Art
"Um, Actually",Random Hall,Bonfire,Bonfire Lounge,8/29/2023 14:17:00,8/29/2023 15:17:00,"From Finn and Jake to Tim Drake, nerds love a lot of things, but there's one thing they love above all else, and that is correcting people. Welcome to Um, Actually!",Games
BYOG (Bring Your Own Grapes),Random Hall,BMF,BMF Kitchen,8/29/2023 17:07:00,8/29/2023 18:47:00,Feeling hot and need a cool refresher? Cold and need a warm snack? Come on over to the wonderful world of BMF where we help you find your favorite way of preparing grapes. ,"Food, Social"
Learn Practical English with Cardio,Random Hall,Clam,Clam Lounge,8/29/2023 17:17:00,8/29/2023 18:17:00,get your exercise of the week while learning useful english sentences with healthy snacks,"Food, Social"
queer ladies' movie night,Random Hall,Loop,Loop,8/29/2023 18:17:00,8/29/2023 21:17:00,come hang out and watch a queer movie with us while decorating (and eating) cookies! all identities welcome :),"Food, Social"
Pasta Ptuesday,Random Hall,Clam,Clam Kitchen,8/29/2023 18:17:00,8/29/2023 21:17:00,Come eat dinner!,Food
Random Hall Dorm Tour,Random Hall,,"starts in Foo, goes around",8/29/2023 18:17:00,8/29/2023 18:47:00,"tour random! get to know our lovely, idiosyncratic building, its culture, and its residents.",Tour
Arcane (2021) conspiracy theories,Random Hall,Bonfire,bonfire lounge,8/29/2023 19:17:00,8/29/2023 20:17:00,"anxiously awaiting the release of the second season of the animated series ""arcane""? us too. come create theories with us to explain character stories as depicted in season one (and come up with guesses for what's to come??)",Social
bingsoo,Random Hall,Pecker,pecker kitchen,8/29/2023 19:17:00,8/29/2023 21:17:00,"come get some shaved ice, hang out, and chat with us :)",Food
Random Hall Dorm Tour,Random Hall,,"start in Foo, go around Random",8/29/2023 23:47:00,8/29/2023 12:17:00,"tour random! get to know our lovely, idiosyncratic building, its culture, and its residents.",Tour
~Bedazzle the Bonfire Babies~,Random Hall,Bonfire,Bonfire kitchen,8/30/2023 11:47:00,8/30/2023 12:47:00,"Attend an artistic activity adorning our adorable angels <3. Befriend the Bonfaari by bestowing beautiful bibs and bobbles upon our babies. Come craft clothes for our cherished CPR children. Don't dally, for the dolls deserve decoration!",Art
BEFOUL OUR WALLS/Disappoint Your Parents!,Random Hall,,Black Hole Kitchen,8/30/2023 12:47:00,8/30/2023 16:47:00,paint paint paINt PAINt urghshkwitzo paint the walls paint your hair we have bleach and hair dye and PAINT,Art
friendship (bracelets) and tea,Random Hall,Loop,Loop Lounge,8/30/2023 15:17:00,8/30/2023 16:47:00,"Come for the tea and bracelets, stay for the friendship! We have a cozy kitchen, everything you need to make your own tea blends, and way too much embroidery floss.","Food, Art"
Knot Theory Pretzels,Random Hall,Clam and Loop,Clam Kitchen,8/30/2023 15:17:00,8/30/2023 17:17:00,9_46 knot anyone? come join us in making soft pretzels in the shape of different knots! ,"Food, Social"
Multitools and Multivitamins,Random Hall,Black Hole,Black Hole Kitchen,8/30/2023 16:47:00,8/30/2023 18:47:00,"Learn all the different uses of a multivitamin, and why you should eat two multitools per day!",Social
Random Hall Dorm Tour,Random Hall,,"starts in Foo, goes around",8/30/2023 17:17:00,8/30/2023 17:47:00,"tour random! get to know our lovely, idiosyncratic building, its culture, and its residents.",Tour
Crepes and Cartoons,Random Hall,Loop,Loop Lounge,8/30/2023 17:47:00,8/30/2023 19:17:00,Celebrate the last day of REX by curling up with a plate of crepes and some classic cartoons!,"Food, Social"
random predetermined random play dance,Random Hall,,Alice in Wonderland Theater,8/30/2023 17:47:00,8/30/2023 19:47:00,"ARE YOU A KPOP FAN WITH NO MEMORY FOR CHOREO? in this unrandom play dance, we will play dance practices (mirrored) on a screen as we (struggle to) follow along. requests are encouraged as long as it's not post-2020 bts. no previous knowledge or skill required.","Food, Social, Games"
Nekomimi Maid Cafe,Random Hall,,Foo,8/30/2023 19:47:00,8/30/2023 21:17:00,Come to Random to be served delicious food by maids with cat ears! kawaii neko maid cafe (=^-.-^=)/ nyaa~,"Signature, Food, Social"
omeganalysis 2: electric boogaloo,Random Hall,,Alice in Wonderland Theatre,8/30/2023 21:17:00,8/30/2023 22:47:00,"Among the tropes frequent in fanfiction, none are more prevalent and unique than omegaverse. Come watch the new and improved presentation on omegaverse (again), from an overview to its origins and history to a deep dive on this trope. Snacks and refreshments will be provided~",
Night at the Sponge,Simmons Hall,,Simmons MPR,8/26/2023 20:30:00,8/26/2023 23:00:00,"Looking to keep cool and entertained before REX? Join us every night of FPOP in the Simmons MPR for board games, AC, and good vibes!","Social, Games"
Sponge Hunt,Simmons Hall,,Simmons Hall,8/27/2023 11:00:00,8/27/2023 13:00:00,Race against the clock to find items scattered throughout our beloved sponge,Games
Karaoke and Kaito,Simmons Hall,,Simmons TV Lounge,8/27/2023 12:00:00,8/27/2023 13:30:00,"Come sing your worries away in an incredible karaoke session while petting our dorm dog, Kaito! Only enthusiasm (but not a good singing voice) required.",Social
build-a-duck,Simmons Hall,,Simmons Front Steps,8/27/2023 13:00:00,8/27/2023 17:00:00,Masterful craftspeople (and upperclassmen) work together at the most porous dorm to construct a mighty war engine.,"Social, Art"
Homemade Ice Cream and Cookie Bar,Simmons Hall,,Simmons Old Late Night Dining,8/27/2023 13:30:00,8/27/2023 15:30:00,"Join us for a homemade cookies and ice cream bar! Meet our heads of house, and our dorm dog, Kaito!","Food, Social"
Escape the Room,Simmons Hall,,Simmons Hall - MPR,8/27/2023 14:30:00,8/27/2023 16:30:00,"There is a room, puzzles, and velociraptors. some people might get out.","Social, Games"
